CLUSTER_ID,RECORD_ID,PRIMARY_NAME_LAST,PRIMARY_NAME_FIRST,PRIMARY_NAME_MIDDLE,GENDER,DATE_OF_BIRTH,PASSPORT_NUMBER,PASSPORT_COUNTRY,DRIVERS_LICENSE_NUMBER,DRIVERS_LICENSE_STATE,SSN_NUMBER,SSN_LAST4,NATIONAL_ID_NUMBER,NATIONAL_ID_COUNTRY,HOME_ADDR_LINE1,HOME_ADDR_CITY,HOME_ADDR_STATE,HOME_ADDR_POSTAL_CODE,HOME_ADDR_COUNTRY,HOME_PHONE_NUMBER,CELL_PHONE_NUMBER,EMAIL_ADDRESS
TI-2003-3,1074,Zhang,Wei,,Male,2/8/06,,,,,,,,,"173 John Lane, 08030",,,,,,,
TI-2003-4,1075,张秀英,,,F,2/4/31,,,,,,,,,"329 Leatherwood Street, Las Vegas, 89117",,,,,,,
TI-2003-4,1076,Zhang,Xiu Ying,,Female,4/2/31,,,,,,,,,"329 Leatherwood Street, Las Vegas, NV",,,,,,,
TI-2003-5,1077,刘杰,,,F,6/25/08,,,,,,,,,37 Campfire St.,,,,,,,
TI-2003-5,1078,Liu,Jie,,Unknown,25-Jun-08,,,,,,,,,37 Campfire St.,,,,,,,
TI-2004-1,1079,Brown,Jeffrey,,U,6/21/82,,,,,,3241,,,,,,,,,,
TI-2004-1,1080,Brown Jr,Geoffrey,,M,6/21/82,,,,,,3241,,,,,,,,,,
TI-1034-1,1081,Frankens,George,,,15-Mar-92,234456456,DE,,,,,,,"Ansbacher Strasse 23, 56422 Dusseldorf",,,56244,,,,
TI-1034-1,1082,Frankens,Georg,,,15-Mar-92,234456456,Germany,,,,,,,23 Ansbacher Street,Dusseldorf,,56244,Germany,,,
TI-1034-2,1083,Klempski,Morris,,,17-May-90,34543555,CA,,,,,,,"Skyline Apartments, 705 Sheppard Ave",Toronto,,M1S 1T4,,,,
TI-1034-2,1084,Klempsky,Morrie,,,17-May-90,34543555,Canada,,,,,,,705 Sheppard Ave,Toronto,,M1S 1T4,CAN,,,
TI-1034-3,1085,D'esquire,Ellie,,,19-Feb-91,,,,,,,,,,,,,,0352 6553537,,dellie@fmail.com
TI-1034-3,1086,Desqueir,Ellie,,,19-Feb-91,,,,,,,,,,,,,,#ERROR!,,dellie@fmail.com
TI-1035-1,1087,Wiest,George,,M,3/12/87,,,,,,,,,,,,,,702-221-2412,,pfranks@ishmail.com
TI-1035-1,1088,Weest,George,,F,3/12/87,,,,,,,,,,,,,,221-2412,,pfranks@ishmail.com
TI-1035-3,1089,Klein,Morris I,,,4/12/82,,,,,,,,,,,,,,,,
TI-1035-4,1090,Klein,Morris II,,,4/12/82,,,,,,,,,,,,,,,,
TI-1035-5,1091,Ohare,Ellie,,,8/15/67,,,,,,,,,,,,,,0352 6553537,,ellie.ohare@fmail.com
TI-1035-5,1092,O'hare,Ellie,,,8/15/67,,,,,,,,,,,,,,#ERROR!,,ellie.ohare@fmail.com
TI-1036-1,1093,Anderson,Amanda,,,3/12/87,,,73423499,MN,,,,,,,,,,,,
TI-1036-1,1094,Jones,Amanda,,,3/12/87,,,73423499,MN,,,,,,,,,,,,
TI-1036-3,1095,Aguilar,Juan,,Male,4/12/82,,,234234455,MN,,,,,,,,,,,,
TI-1036-3,1096,Aguilar,Juann,,n/a,4/12/82,,,234234455,MN,,,,,,,,,,,,
TI-1037-1,1097,Sanchez,Marie,,,,,,,,,,,,P.O. Box 12987,Andersonville,IL,60611,,,982-122-2332,mickey@mmail.com
TI-1037-1,1098,Sanchez Mendoza,Marie,,,,,,,,,,,,PO BOX 12987,Chicago,IL,60611,,,656-237-2191,mickey@mmail.com
TI-1037-3,1099,Aguilar,Anna Maria,,Female,,,,,,,,,,1812 Overture way,Chicago,IL,,,,818-291-2881,mouse@mmail.com
TI-1037-3,1100,Aguilar,Anna,Marie,Unknown,,,,,,,,,,9881 Freedom way,Chicago,IL,,,,818-291-2881,mouse@mmail.com
TI-1038-1,1101,Miller,Mark,,,,,,,,,,,,,,,,,,,mark@marksfoods.com
TI-1038-1,1102,Milner,Mark,,,,,,,,,,,,,,,,,,,mark@marksfoods.com
TI-1038-3,1103,Becker,Anabella,,U,,,,823123,TX,,,,,,,,,,,,
TI-1038-3,1104,Becker,Annabelle,,F,,,,823123,Texas,,,,,,,,,,,,
